YEAR,MONTH,LINE_SEG_NBR,TRACK_SDTK_NBR,MILEPOST_START,MILEPOST_END,TOT_CAR_EAST,TOT_CAR_WEST,TOT_TRN_EAST,TOT_TRN_WEST,TOT_DFLT_MGT
2011, 5,4,2,24.220,27.000,10702,4956,127,127,1.951624
2011, 5,4,0,94.360,94.600,31922,27739,360,360,5.782566
2011, 5,4,0,94.600,104.561,31484,27955,346,346,5.360800
2011, 5,4,0,104.561,106.440,31510,27974,345,345,5.364400
2011, 5,4,0,106.440,110.170,31693,28108,345,345,5.390100
2011, 5,4,0,110.170,111.520,31693,28108,345,345,5.390100
2011, 5,4,0,111.520,120.000,31693,28108,345,345,5.390100
2011, 5,4,0,120.000,122.240,31796,28108,345,345,5.393400
2011, 5,4,0,44.770,50.400,13514,15058,173,173,3.120566
2011, 5,4,0,50.400,54.860,18084,19445,213,213,3.792566
2011, 5,4,0,54.860,57.129,19145,20378,228,228,3.938666
2011, 5,4,0,57.129,63.719,19150,20377,229,229,3.938666
2011, 5,4,0,63.719,66.290,22730,23704,271,271,4.575566
2011, 5,4,0,66.290,79.679,31935,27835,361,361,5.797966
2011, 5,4,0,79.679,81.995,31950,27785,360,360,5.791166
2011, 5,4,0,81.995,92.928,31942,27739,360,360,5.783166
2011, 5,4,0,92.928,94.360,31922,27739,360,360,5.782566
2011, 5,4,0,159.985,164.810,52593,42841,532,532,8.162500
2011, 5,4,0,164.810,166.970,52593,42841,532,532,8.162500
2011, 5,4,0,166.970,174.544,52593,42840,532,532,8.162400
2011, 5,4,0,174.544,176.520,52703,42757,532,532,8.157500
2011, 5,4,0,176.520,180.110,52703,42757,532,532,8.157500
2011, 5,4,0,180.110,182.550,52703,42757,532,532,8.157500
2011, 5,4,0,182.550,187.900,52703,42757,532,532,8.157500
2011, 5,4,0,122.240,125.870,31801,28109,345,345,5.393700
2011, 5,4,0,125.870,131.570,31818,28117,346,346,5.396700
2011, 5,4,0,131.570,133.850,31819,28118,347,347,5.396800
2011, 5,4,0,133.850,140.640,31819,28118,347,347,5.396800
2011, 5,4,0,140.640,142.830,41175,33460,420,420,6.455100
2011, 5,4,0,142.830,150.810,46148,36300,459,459,7.017700
2011, 5,4,0,150.810,153.000,46148,36300,459,459,7.017700
2011, 5,4,0,153.000,157.720,46148,36300,459,459,7.017700
2011, 5,4,0,157.720,159.985,52365,42609,529,529,8.121900
2011, 5,4,3,214.910,216.958,10151,8235,100,100,1.571100
2011, 5,4,2,215.001,216.952,9374,7605,93,93,1.450900
2011, 5,4,4,215.001,216.958,9399,7625,93,93,1.454700
2011, 5,4,5,215.103,216.849,8930,7245,88,88,1.382200
2011, 5,4,6,215.194,216.780,8770,7115,87,87,1.357400
2011, 5,4,1,216.952,217.400,26193,21249,261,261,4.053900
2011, 5,4,2,216.958,217.400,26311,21345,263,263,4.072200
2011, 5,4,0,187.900,190.090,52693,42742,532,532,8.153300
2011, 5,4,0,190.090,194.790,52693,42742,532,532,8.153200
2011, 5,4,0,194.790,197.130,52683,42742,532,532,8.153200
2011, 5,4,0,197.130,203.960,52673,42742,532,532,8.153200
2011, 5,4,0,203.960,206.220,52675,42742,532,532,8.152100
2011, 5,4,0,206.220,208.033,52676,42742,532,532,8.151600
2011, 5,4,1,208.033,214.910,26327,21361,264,264,4.074400
2011, 5,4,2,208.033,214.910,26327,21361,264,264,4.074400
2011, 5,4,1,214.910,216.952,10129,8217,100,100,1.567700
2011, 5,4,0,225.170,227.189,2555,2555,303,293,4.777101
2011, 5,4,0,227.189,233.250,3659,3659,381,342,5.568693
2011, 5,4,0,233.250,235.520,2599,2599,277,296,4.543643
2011, 5,4,0,235.520,241.110,3659,3659,383,341,5.580852
2011, 5,4,0,241.110,243.299,2327,2327,273,296,4.555297
2011, 5,4,2,217.400,217.900,27091,21956,280,280,4.205100
2011, 5,4,1,217.400,217.900,27091,21956,280,280,4.205100
2011, 5,4,2,217.900,218.022,26948,21836,278,278,4.181600
2011, 5,4,1,217.900,218.022,26948,21836,278,278,4.181600
2011, 5,4,0,218.022,218.592,3792,3792,328,267,4.551691
2011, 5,4,0,218.592,220.217,2620,2620,279,251,3.971805
2011, 5,4,0,220.217,221.160,3276,3276,332,265,4.473459
2011, 5,4,0,221.160,225.170,3603,3603,388,345,5.534282
2011, 5,4,0,279.579,281.579,2636,2636,295,302,4.910797
2011, 5,4,0,281.579,287.539,3152,3152,378,316,5.477329
2011, 5,4,0,287.539,288.839,2388,2388,352,304,5.314938
2011, 5,4,0,288.839,292.789,3043,3043,377,317,5.491619
2011, 5,4,0,292.789,294.860,2416,2416,288,291,4.678141
2011, 5,4,0,243.300,253.529,3658,3658,384,339,5.581946
2011, 5,4,0,253.529,255.670,2700,2700,273,305,4.676417
2011, 5,4,0,255.670,268.579,3379,3379,382,330,5.565153
2011, 5,4,0,268.579,270.760,2602,2602,282,296,4.567664
2011, 5,4,0,270.760,279.579,3271,3271,379,322,5.516036
2011, 5,4,0,321.420,323.789,3158,3158,411,325,5.732966
2011, 5,4,0,323.789,325.500,2289,2289,323,310,5.146922
2011, 5,4,0,325.500,332.579,2994,2994,409,328,5.725850
2011, 5,4,0,332.579,334.239,2192,2192,302,296,4.852314
2011, 5,4,0,294.860,302.429,2936,2936,375,319,5.509246
2011, 5,4,0,302.429,304.629,3117,3117,312,306,5.063453
2011, 5,4,0,304.629,309.689,2820,2820,379,319,5.528985
2011, 5,4,0,309.689,311.879,1544,1544,255,297,4.564884
2011, 5,4,0,311.879,317.500,2600,2600,379,316,5.525030
2011, 5,4,0,317.500,319.849,2441,2441,366,308,5.326930
2011, 5,4,0,319.850,321.420,2255,2255,292,296,4.813807
2011, 5,4,0,354.410,354.820,3462,3462,450,422,6.461928
2011, 5,4,0,354.820,355.589,2997,2997,370,291,4.097041
2011, 5,4,0,355.589,358.370,2649,2649,368,273,3.692575
2011, 5,4,0,358.370,360.771,3317,3317,507,399,5.522565
2011, 5,4,1,360.771,362.200,1594,1594,246,142,2.504347
2011, 5,4,2,360.771,362.400,1761,1761,174,139,1.746796
2011, 5,4,0,334.239,342.239,3211,3211,411,327,5.736325
2011, 5,4,0,342.239,343.510,2308,2308,369,297,5.310351
2011, 5,4,0,346.728,348.900,2287,2287,413,567,9.008190
2011, 5,4,0,348.900,349.988,2319,2319,419,334,5.944463
2011, 5,4,0,349.988,351.289,2477,2477,428,351,6.029474
2011, 5,4,0,351.289,354.410,1964,1964,315,190,3.432840
2011, 5,4,0,370.029,371.450,8608,8608,348,309,4.465334
2011, 5,4,0,371.450,376.560,9193,9193,365,317,4.617487
2011, 5,4,0,376.560,378.279,7321,7321,312,286,4.126983
2011, 5,4,0,378.279,385.689,8525,8525,369,316,4.624868
2011, 5,4,0,385.689,386.889,9132,9132,351,308,4.387278
2011, 5,4,1,362.200,362.449,1409,1409,208,53,1.720870
2011, 5,4,2,362.400,364.429,1734,1734,178,151,1.954536
2011, 5,4,1,362.449,364.600,1286,1286,69,51,1.079945
2011, 5,4,2,364.429,368.559,2388,2388,202,153,2.105143
2011, 5,4,1,364.600,365.500,804,804,39,134,1.726610
2011, 5,4,1,365.500,368.559,3673,3673,109,163,2.179655
2011, 5,4,0,368.559,370.029,8893,8893,364,316,4.603902
2011, 5,4,0,422.760,424.432,6272,6272,293,263,3.596926
2011, 5,4,0,424.432,432.260,7843,7843,352,333,4.410002
2011, 5,4,0,432.260,434.295,6672,6672,300,286,3.872105
2011, 5,4,0,434.295,441.689,7838,7838,351,330,4.378212
2011, 5,4,0,386.889,388.527,8216,8216,295,247,3.474640
2011, 5,4,0,388.527,399.870,8975,8975,351,309,4.401979
2011, 5,4,0,399.870,401.560,7835,7835,279,266,3.702676
2011, 5,4,0,401.560,410.629,8853,8853,351,300,4.325197
2011, 5,4,0,410.629,412.660,4479,4479,233,267,3.414837
2011, 5,4,0,412.660,413.570,6996,6996,327,321,4.154582
2011, 5,4,0,413.570,422.760,8229,8229,355,328,4.384367
2011, 5,4,0,468.610,470.393,6603,6603,315,261,3.651181
2011, 5,4,0,470.393,476.950,7202,7202,349,333,4.373557
2011, 5,4,0,476.950,478.814,5978,5978,297,286,3.814941
2011, 5,4,0,478.814,486.179,7337,7337,355,330,4.432688
2011, 5,4,0,486.179,487.985,6759,6759,325,285,4.031799
2011, 5,4,0,441.689,443.032,6545,6545,277,263,3.428538
2011, 5,4,0,443.032,449.754,8013,8013,355,328,4.390742
2011, 5,4,1,449.754,451.060,411,411,65,96,0.252501
2011, 5,4,2,449.754,451.060,7633,7633,289,256,4.084543
2011, 5,4,0,451.060,459.429,7881,7881,354,331,4.358484
2011, 5,4,0,459.429,461.167,6770,6770,285,302,3.918912
2011, 5,4,0,461.167,468.610,7721,7721,350,325,4.369871
2011, 5,4,0,511.329,516.310,6788,6788,347,314,4.407419
2011, 5,4,0,516.310,517.070,5993,5993,297,0,1.461776
2011, 5,4,0,487.985,493.639,7288,7288,362,318,4.462719
2011, 5,4,0,493.639,495.240,6297,6297,309,276,3.833289
2011, 5,4,0,495.240,501.220,7083,7083,351,315,4.457658
2011, 5,4,0,501.220,502.917,6645,6645,308,288,4.029609
2011, 5,4,0,502.917,509.620,7074,7074,348,312,4.401932
2011, 5,4,0,509.620,511.329,6200,6200,312,291,4.064890
2011, 6,1,0,0.871,3.900,243,309,13,13,0.046900
2011, 6,1,0,3.900,12.420,243,309,13,13,0.046900
2011, 6,1,0,12.420,22.870,239,309,13,13,0.046500
2011, 6,1,0,22.870,28.940,448,518,27,27,0.092900
2011, 6,1,0,28.940,31.952,659,735,35,35,0.110800
2011, 6,1,0,85.484,87.484,23567,24417,308,308,4.459300
2011, 6,1,0,87.484,98.152,23546,24454,307,307,4.462000
2011, 6,1,0,98.152,100.146,23513,24445,306,306,4.460300
2011, 6,1,0,100.146,111.417,23376,24439,302,302,4.452500
2011, 6,1,0,111.417,113.227,23335,24401,298,298,4.443800
2011, 6,1,0,113.227,124.328,23335,24400,298,298,4.443700
2011, 6,1,0,124.328,126.656,23458,24368,299,299,4.441800
2011, 6,1,0,31.952,40.667,250,326,13,13,0.043000
2011, 6,1,0,40.980,42.980,23727,24487,310,310,4.474600
2011, 6,1,0,42.980,51.876,23727,24487,310,310,4.474600
2011, 6,1,0,51.876,53.300,23727,24483,310,310,4.474100
2011, 6,1,0,53.300,59.452,23727,24477,310,310,4.473300
2011, 6,1,0,59.452,61.344,23631,24388,309,309,4.459300
2011, 6,1,0,61.344,72.788,23590,24352,309,309,4.453800
2011, 6,1,0,72.788,74.774,23577,24352,309,309,4.453800
2011, 6,1,0,74.774,85.484,23577,24352,309,309,4.453900
2011, 6,1,0,185.745,187.703,23315,24583,298,298,4.455100
2011, 6,1,0,187.703,198.924,23315,24557,298,298,4.451200
2011, 6,1,0,198.924,200.821,23288,24686,298,298,4.462600
2011, 6,1,0,200.821,210.805,23274,24756,298,298,4.469000
2011, 6,1,0,210.805,212.848,23274,24759,298,298,4.469500
2011, 6,1,0,212.848,226.060,23274,24762,298,298,4.469800
2011, 6,2,2,0.799,4.620,143,143,140,259,2.885840
2011, 6,1,0,126.656,136.191,23458,24368,299,299,4.441800
2011, 6,1,0,136.191,137.977,23403,24391,299,299,4.442700
2011, 6,1,0,137.977,149.042,23377,24404,299,299,4.443900
2011, 6,1,0,149.042,150.938,23377,24405,299,299,4.444400
2011, 6,1,0,150.938,160.658,23375,24405,299,299,4.444200
2011, 6,1,0,160.658,162.550,23348,24494,298,298,4.450400
2011, 6,1,0,162.550,176.178,23315,24608,298,298,4.458700
2011, 6,1,0,176.178,178.191,23315,24608,298,298,4.458700
2011, 6,1,0,178.191,185.745,23315,24608,298,298,4.458700
2011, 6,2,0,37.956,39.953,1121,1121,223,258,3.475853
2011, 6,2,0,39.953,52.327,1998,1998,278,309,4.248895
2011, 6,2,0,52.327,54.909,1295,1295,241,257,3.454957
2011, 6,2,0,54.909,60.218,1870,1870,286,298,4.125392
2011, 6,2,1,0.799,4.620,1902,1902,138,54,1.272132
2011, 6,2,0,4.620,5.808,1559,1559,282,311,4.198943
2011, 6,2,1,5.808,14.078,1489,1489,223,259,3.429867
2011, 6,2,2,5.808,14.078,744,744,53,51,0.759567
2011, 6,2,0,14.078,21.585,1508,1508,278,310,4.192348
2011, 6,2,0,21.585,22.756,1081,1081,222,264,3.466078
2011, 6,2,0,22.756,29.700,1390,1390,222,258,3.454578
2011, 6,2,0,29.700,37.956,1878,1878,278,307,4.212271
2011, 6,2,0,97.421,99.286,1880,1880,217,279,3.721486
2011, 6,2,0,99.286,104.581,2009,2009,260,299,4.083624
2011, 6,2,1,104.581,120.604,1480,1480,164,163,2.283975
2011, 6,2,2,104.581,120.604,1272,1272,120,139,1.800923
2011, 6,2,2,120.604,121.089,1206,1206,99,119,1.576574
2011, 6,2,1,120.604,124.500,1417,1417,172,172,2.448462
2011, 6,2,2,121.089,124.773,1723,1723,97,123,1.599913
2011, 6,2,0,60.218,61.962,1636,1636,254,267,3.670393
2011, 6,2,0,61.962,73.362,1761,1761,283,300,4.125390
2011, 6,2,0,73.362,75.223,1106,1106,234,265,3.565324
2011, 6,2,0,75.223,86.503,1928,1928,272,302,4.140005
2011, 6,2,0,86.503,89.111,1703,1703,223,266,3.564135
2011, 6,2,0,89.111,97.421,2108,2108,266,293,4.113425
2011, 6,2,0,159.299,160.665,1852,1852,204,248,3.363537
2011, 6,2,0,160.665,172.047,2222,2222,264,279,3.991636
2011, 6,2,0,172.047,173.766,1793,1793,222,262,3.571074
2011, 6,2,0,173.766,178.773,2222,2222,262,279,3.980479
2011, 6,2,0,178.773,180.483,1949,1949,220,239,3.380642
2011, 6,2,0,124.773,132.555,2207,2207,219,238,3.325743
2011, 6,2,0,132.555,135.574,2413,2413,259,278,3.876831
2011, 6,2,0,135.574,145.500,2033,2033,264,297,4.090071
2011, 6,2,0,145.500,147.960,1586,1586,182,253,3.271860
2011, 6,2,0,147.960,158.939,2222,2222,262,286,3.991131
2011, 6,2,0,158.939,159.299,1852,1852,205,250,3.359280
2011, 6,2,0,222.616,226.666,2585,2585,269,280,4.055515
2011, 6,2,0,226.666,229.372,21684,23008,272,272,4.085500
2011, 6,2,0,229.371,237.805,2686,2686,267,285,4.071772
2011, 6,2,0,237.805,239.854,2416,2416,214,245,3.359371
2011, 6,2,0,180.483,191.757,2335,2335,264,278,3.975182
2011, 6,2,0,191.757,194.386,2222,2222,246,253,3.614711
2011, 6,2,0,194.386,205.338,2478,2478,263,278,3.996960
2011, 6,2,0,205.338,207.166,2051,2051,219,249,3.428415
2011, 6,2,0,207.166,220.855,2546,2546,265,280,4.014477
2011, 6,2,0,220.855,222.616,2087,2087,231,231,3.397525
2011, 6,2,0,277.268,278.175,2587,2587,219,229,3.248456
2011, 6,2,0,278.175,287.973,2815,2815,270,290,4.133974
2011, 6,2,0,287.973,289.709,2137,2137,192,224,3.090859
2011, 6,2,0,289.709,302.303,2965,2965,268,287,4.115616
2011, 6,2,0,302.303,304.934,2126,2126,187,233,3.121857
2011, 6,2,0,239.854,251.411,2666,2666,264,286,4.071833
2011, 6,2,0,251.411,253.186,2525,2525,214,237,3.271186
2011, 6,2,0,253.186,262.628,2947,2947,265,286,4.075871
2011, 6,2,0,262.628,264.401,2524,2524,206,235,3.253355
2011, 6,2,0,264.401,275.827,2833,2833,266,286,4.075021
2011, 6,2,2,275.827,277.268,1408,1408,35,17,0.388873
2011, 6,2,1,275.827,277.268,2393,2393,182,212,2.845228
2011, 6,2,0,343.501,352.110,2598,2598,267,289,4.113488
2011, 6,2,0,352.110,354.346,2464,2464,220,261,3.546437
2011, 6,2,0,354.346,359.249,2780,2780,267,290,4.129705
2011, 6,2,0,359.249,360.860,2067,2067,192,257,3.413264
2011, 6,2,0,304.934,316.286,2843,2843,268,289,4.119108
2011, 6,2,0,316.286,318.383,2623,2623,206,247,3.398133
2011, 6,2,0,318.383,329.059,2722,2722,260,288,4.056788
2011, 6,2,0,329.059,330.776,2367,2367,182,251,3.237309
2011, 6,2,0,330.776,341.732,2541,2541,267,289,4.113414
2011, 6,2,0,341.732,343.501,2106,2106,201,260,3.481123
2011, 6,2,0,400.154,407.997,3051,3051,268,292,4.154101
2011, 6,2,0,407.997,408.667,2604,2604,214,265,3.595343
2011, 6,2,0,408.667,416.595,3156,3156,269,293,4.138140
2011, 6,2,0,416.595,418.680,2703,2703,214,225,3.090726
2011, 6,2,0,418.680,427.345,3109,3109,269,295,4.151380
2011, 6,2,0,360.860,374.262,2780,2780,266,291,4.132797
2011, 6,2,0,374.262,376.061,2163,2163,172,266,3.248475
2011, 6,2,0,376.061,386.655,2891,2891,267,290,4.132365
2011, 6,2,0,386.655,388.241,2712,2712,209,256,3.520884
2011, 6,2,0,388.241,398.049,3051,3051,267,289,4.116245
2011, 6,2,0,398.049,400.154,2862,2862,184,243,3.123124
2011, 6,2,0,427.345,429.248,867,867,120,234,2.627065
2011, 6,2,0,429.248,431.907,574,574,45,131,1.131880
2011, 6,2,2,431.907,434.000,397,397,62,193,1.639030
2011, 6,2,1,431.907,434.000,2407,2407,227,136,2.549724
2011, 6,3,2,6.100,7.300,870,870,350,75,1.327529
2011, 6,3,1,6.100,7.300,400,400,58,356,1.416997
2011, 6,3,1,7.300,13.201,508,508,83,427,1.675436
2011, 6,3,2,7.300,13.201,1678,1678,431,27,1.510502
2011, 6,3,2,13.201,14.399,2237,2237,419,31,1.559096
2011, 6,3,1,13.201,14.399,1479,1479,165,467,1.987513
2011, 6,3,1,14.400,15.100,1191,1191,112,487,2.056743
2011, 6,3,2,4.600,5.800,765,765,119,16,0.327012
2011, 6,3,1,4.600,5.800,733,733,56,21,0.245011
2011, 6,3,1,5.800,6.100,752,752,30,14,0.197326
2011, 6,3,2,5.800,6.100,849,849,137,22,0.356696
2011, 6,3,1,29.300,46.000,962,962,94,533,3.223325
2011, 6,3,2,36.000,41.500,10886,10886,698,118,4.055342
2011, 6,3,2,41.500,46.000,11008,11008,671,64,3.650225
2011, 6,3,1,46.000,48.270,2204,2204,195,462,3.402401
2011, 6,3,2,46.000,48.270,5615,5615,353,52,2.203265
2011, 6,3,2,14.400,15.100,6198,6198,455,66,2.310692
2011, 6,3,1,15.100,15.500,922,922,161,498,2.833206
2011, 6,3,2,15.100,17.599,6624,6624,392,98,2.391440
2011, 6,3,1,15.500,17.299,1373,1373,61,467,2.501377
2011, 6,3,1,17.299,17.599,954,954,170,405,2.439655
2011, 6,3,1,17.599,18.700,832,832,66,466,2.469915
2011, 6,3,2,17.599,29.299,7710,7710,641,61,3.409703
2011, 6,3,1,18.700,29.299,625,625,56,523,2.849458
2011, 6,3,2,29.300,36.000,7814,7814,594,43,3.091845
2011, 6,3,2,84.400,89.800,8704,8704,697,89,4.492962
2011, 6,3,1,89.800,91.499,2554,2554,135,645,4.762385
2011, 6,3,2,89.800,91.499,8773,8773,699,97,4.517479
